set_id,description,price,img_url_1,img_url_2,color,category
37,Blush Pink Crystal Bangle Set,1350.00,https://img.faballey.com/Images/Product/ZBR00078/1.jpg,https://img.faballey.com/images/Product/ZBR00078/2.jpg,Gold,bangles-bracelets
38,Gold Red Kundan Meena Bracelet,1300.00,https://img.faballey.com/Images/Product/ZBR00045/1.jpg,https://img.faballey.com/images/Product/ZBR00045/2.jpg,red,bangles-bracelets
1,White Blue Diamond Earring Pendant Necklace Set,2625.00,https://img.faballey.com/Images/Product/ZNS00011/1.jpg,https://img.faballey.com/images/Product/ZNS00011/2.jpg,blue,necklace-sets
2,Gold Kundan Multicolor Stone Earring Necklace Set,2000.00,https://img.faballey.com/Images/Product/ZNS00053/1.jpg,https://img.faballey.com/images/Product/ZNS00053/2.jpg,maroon,necklace-sets
3,Gold Kundan Green Drop Double Orb Earring Necklace Set,2250.00,https://img.faballey.com/Images/Product/ZNS00038/1.jpg,https://img.faballey.com/images/Product/ZNS00038/2.jpg,green,necklace-sets
4,Dual Gold Kundan Pearl Earring Necklace Set,2000.00,https://img.faballey.com/Images/Product/ZNS00056/1.jpg,https://img.faballey.com/images/Product/ZNS00056/2.jpg,red,necklace-sets
5,Gold Green Kundan Bead Drop Earring Necklace Set,3750.00,https://img.faballey.com/Images/Product/ZNS00018/1.jpg,https://img.faballey.com/images/Product/ZNS00018/2.jpg,White,necklace-sets
1,White Green Beaded Quad Kundan Matha Patti,900.00,https://img.faballey.com/Images/Product/ZMT00027/1.jpg,https://img.faballey.com/images/Product/ZMT00027/2.jpg,green,hair-jewelry
6,Gold Kundan Pearl Earring Necklace Set,2375.00,https://img.faballey.com/Images/Product/ZNS00044/1.jpg,https://img.faballey.com/images/Product/ZNS00044/2.jpg,white,necklace-sets
7,White Diamond Aqua Drop Earring Necklace Set,2450.00,https://img.faballey.com/Images/Product/ZNS00013/1.jpg,https://img.faballey.com/images/Product/ZNS00013/2.jpg,blue,necklace-sets
8,Gold Kundan Red Drop Meena Earring Necklace Set,2250.00,https://img.faballey.com/Images/Product/ZNS00054/1.jpg,https://img.faballey.com/images/Product/ZNS00054/2.jpg,red,necklace-sets
9,Gold Leaf Kundan Double Pearl Earrings Necklace Set,1750.00,https://img.faballey.com/Images/Product/ZNS00045/1.jpg,https://img.faballey.com/images/Product/ZNS00045/2.jpg,white,necklace-sets
10,Gold Green Kundan Floral Pendant Necklace Set,2100.00,https://img.faballey.com/Images/Product/ZNS00063/1.jpg,https://img.faballey.com/images/Product/ZNS00063/2.jpg,green,necklace-sets
2,Gold Kundan Green Bead Floral Maang Tika,975.00,https://img.faballey.com/Images/Product/ZMT00009/1.jpg,https://img.faballey.com/images/Product/ZMT00009/2.jpg,green,hair-jewelry
3,Gold Kundan Drop Cascade Maang Tika,1100.00,https://img.faballey.com/Images/Product/ZMT00014/1.jpg,https://img.faballey.com/images/Product/ZMT00014/2.jpg,white,hair-jewelry
4,Gold Kundan Green Bead Maang Tika,800.00,https://img.faballey.com/Images/Product/ZMT00007/1.jpg,https://img.faballey.com/images/Product/ZMT00007/2.jpg,green,hair-jewelry
